Date,User,Kind,Max Mode,Model,Tokens,Cost
"Jul 6, 04:55 PM","You","Usage-based","Yes","claude-4-opus-thinking","0","$0.00"
"Jul 6, 04:55 PM","You","Usage-based","Yes","claude-4-opus-thinking","57,379","$0.16"
"Jul 6, 04:55 PM","You","Usage-based","Yes","claude-4-opus-thinking","56,269","$0.22"
"Jul 6, 04:55 PM","You","Usage-based","Yes","claude-4-opus-thinking","53,611","$0.12"
"Jul 6, 04:55 PM","You","Usage-based","Yes","claude-4-opus-thinking","53,306","$0.11"
"Jul 6, 04:55 PM","You","Usage-based","Yes","claude-4-opus-thinking","53,018","$0.12"
"Jul 6, 04:54 PM","You","Usage-based","Yes","claude-4-opus-thinking","52,548","$0.11"
"Jul 6, 04:54 PM","You","Usage-based","Yes","claude-4-opus-thinking","52,377","$0.14"
"Jul 6, 04:54 PM","You","Usage-based","Yes","claude-4-opus-thinking","51,427","$0.16"
"Jul 6, 04:54 PM","You","Usage-based","Yes","claude-4-opus-thinking","50,673","$0.14"
"Jul 6, 04:54 PM","You","Usage-based","Yes","claude-4-opus-thinking","49,398","$0.18"
"Jul 6, 04:53 PM","You","Usage-based","Yes","claude-4-opus-thinking","47,674","$0.18"
"Jul 6, 04:53 PM","You","Usage-based","Yes","claude-4-opus-thinking","46,136","$0.15"
"Jul 6, 04:53 PM","You","Usage-based","Yes","claude-4-opus-thinking","45,140","$0.13"
"Jul 6, 04:53 PM","You","Usage-based","Yes","claude-4-opus-thinking","44,039","$0.17"
"Jul 6, 04:53 PM","You","Usage-based","Yes","claude-4-opus-thinking","43,010","$0.10"
"Jul 6, 04:49 PM","You","Usage-based","Yes","claude-4-opus-thinking","42,750","$0.10"
"Jul 6, 04:49 PM","You","ultra","Yes","claude-4-opus-thinking","42,404","Included"
"Jul 6, 04:49 PM","You","ultra","Yes","claude-4-opus-thinking","41,944","Included"
"Jul 6, 04:49 PM","You","ultra","Yes","claude-4-opus-thinking","41,292","Included"
"Jul 6, 04:48 PM","You","ultra","Yes","claude-4-opus-thinking","40,965","Included"
"Jul 6, 04:48 PM","You","ultra","Yes","claude-4-opus-thinking","40,417","Included"
"Jul 6, 04:48 PM","You","ultra","Yes","claude-4-opus-thinking","39,669","Included"
"Jul 6, 04:48 PM","You","ultra","Yes","claude-4-opus-thinking","38,938","Included"
"Jul 6, 04:48 PM","You","ultra","Yes","claude-4-opus-thinking","38,746","Included"
"Jul 6, 04:47 PM","You","ultra","Yes","claude-4-opus-thinking","38,725","Included"
"Jul 6, 04:45 PM","You","ultra","Yes","claude-4-opus-thinking","37,842","Included"
"Jul 6, 04:45 PM","You","ultra","Yes","claude-4-opus-thinking","37,242","Included"
"Jul 6, 04:45 PM","You","ultra","Yes","claude-4-opus-thinking","35,629","Included"
"Jul 6, 04:44 PM","You","ultra","Yes","claude-4-opus-thinking","35,248","Included"
"Jul 6, 04:44 PM","You","ultra","Yes","claude-4-opus-thinking","34,804","Included"
"Jul 6, 04:44 PM","You","ultra","Yes","claude-4-opus-thinking","25,740","Included"
"Jul 6, 04:31 PM","You","ultra","Yes","claude-4-sonnet-thinking","48,656","Included"
"Jul 6, 04:31 PM","You","ultra","Yes","claude-4-sonnet-thinking","43,511","Included"
"Jul 6, 04:31 PM","You","ultra","Yes","claude-4-sonnet-thinking","43,010","Included"
"Jul 6, 04:31 PM","You","ultra","Yes","claude-4-sonnet-thinking","42,623","Included"
"Jul 6, 04:31 PM","You","ultra","Yes","claude-4-sonnet-thinking","41,648","Included"
"Jul 6, 04:31 PM","You","ultra","Yes","claude-4-sonnet-thinking","39,666","Included"
"Jul 6, 04:31 PM","You","ultra","Yes","claude-4-sonnet-thinking","36,511","Included"
"Jul 6, 04:31 PM","You","ultra","Yes","claude-4-sonnet-thinking","35,762","Included"
"Jul 6, 04:30 PM","You","ultra","Yes","claude-4-sonnet-thinking","35,367","Included"
"Jul 6, 04:29 PM","You","ultra","Yes","claude-4-sonnet-thinking","80,616","Included"
"Jul 6, 04:29 PM","You","ultra","Yes","claude-4-sonnet-thinking","67,101","Included"
"Jul 6, 04:28 PM","You","ultra","Yes","claude-4-sonnet-thinking","67,299","Included"
"Jul 6, 04:28 PM","You","ultra","Yes","claude-4-sonnet-thinking","64,751","Included"
"Jul 6, 04:28 PM","You","ultra","Yes","claude-4-sonnet-thinking","64,074","Included"
"Jul 6, 04:28 PM","You","ultra","Yes","claude-4-sonnet-thinking","63,723","Included"
"Jul 6, 04:25 PM","You","ultra","Yes","claude-4-opus-thinking","64,629","Included"
"Jul 6, 04:24 PM","You","ultra","Yes","claude-4-opus-thinking","63,709","Included"
"Jul 6, 04:24 PM","You","ultra","Yes","claude-4-opus-thinking","58,609","Included"
"Jul 6, 04:24 PM","You","ultra","Yes","claude-4-opus-thinking","53,410","Included"
"Jul 6, 04:24 PM","You","ultra","Yes","claude-4-opus-thinking","52,947","Included"
"Jul 6, 04:24 PM","You","ultra","Yes","claude-4-opus-thinking","52,767","Included"
"Jul 6, 04:24 PM","You","ultra","Yes","claude-4-opus-thinking","47,151","Included"
"Jul 6, 04:23 PM","You","ultra","Yes","claude-4-opus-thinking","46,171","Included"
"Jul 6, 04:23 PM","You","ultra","Yes","claude-4-opus-thinking","40,995","Included"
"Jul 6, 04:23 PM","You","ultra","Yes","claude-4-opus-thinking","40,704","Included"
"Jul 6, 04:23 PM","You","ultra","Yes","claude-4-opus-thinking","35,622","Included"
"Jul 6, 04:23 PM","You","Errored, Not Charged","Yes","claude-4-opus-thinking","35,255","Included"
"Jul 6, 04:23 PM","You","ultra","Yes","claude-4-opus-thinking","35,096","Included"
