Kind,Model,Input,Output,Cache Write,Cache Read,Cost
"Errored, Not Charged","claude-4-sonnet-thinking","0","0","0","0","Included"
"ultra","claude-4-sonnet-thinking","9","290","458","49,755","Included"
"ultra","claude-4-sonnet-thinking","10","247","788","48,967","Included"
"ultra","claude-4-sonnet-thinking","11","577","778","48,189","Included"
"ultra","claude-4-sonnet-thinking","12","342","2,183","46,006","Included"
"ultra","claude-4-sonnet-thinking","158","420","25,098","20,908","Included"
"ultra","claude-4-sonnet-thinking","8","788","1,760","44,124","Included"
"ultra","claude-4-sonnet-thinking","12","327","415","106,884","Included"
"ultra","claude-4-sonnet-thinking","9","366","1,384","42,740","Included"
"ultra","claude-4-sonnet-thinking","12","337","4,222","102,662","Included"
"ultra","claude-4-sonnet-thinking","10","378","519","42,221","Included"
"ultra","claude-4-sonnet-thinking","12","277","645","102,017","Included"
"ultra","claude-4-sonnet-thinking","11","279","679","41,542","Included"
"ultra","claude-4-sonnet-thinking","184","319","81,109","20,908","Included"
"ultra","claude-4-sonnet-thinking","10","558","4,096","98,385","Included"
"ultra","claude-4-sonnet-thinking","11","131","340","98,045","Included"
"ultra","claude-4-sonnet-thinking","11","230","423","97,622","Included"
"ultra","claude-4-sonnet-thinking","11","297","376","97,246","Included"
"ultra","claude-4-sonnet-thinking","11","265","544","96,702","Included"
"ultra","claude-4-sonnet-thinking","11","362","686","96,016","Included"
"ultra","claude-4-sonnet-thinking","12","428","590","40,952","Included"
"ultra","claude-4-sonnet-thinking","12","472","716","40,236","Included"
"ultra","claude-4-sonnet-thinking","11","611","4,362","91,654","Included"
"ultra","claude-4-sonnet-thinking","12","220","483","39,753","Included"
"ultra","claude-4-sonnet-thinking","202","603","70,746","20,908","Included"
"ultra","claude-4-sonnet-thinking","49","209","18,845","20,908","Included"
"ultra","claude-4-sonnet-thinking","8","735","184","91,976","Included"
"ultra","claude-4-sonnet-thinking","9","126","3,924","88,052","Included"
"ultra","claude-4-sonnet-thinking","10","133","178","87,874","Included"
"ultra","claude-4-sonnet-thinking","11","120","433","87,441","Included"
"ultra","claude-4-sonnet-thinking","12","435","338","87,103","Included"
"Errored, Not Charged","claude-4-sonnet-thinking","0","0","0","0","Included"
"ultra","claude-4-sonnet-thinking","12","229","373","86,730","Included"
